Is_there_a_Project_associated_,Ward,Sub_ward_location_001,Sub_Location_mnagei,Sub_Location_kishaunet,Sub_Location_Keringet,Sub_ward_location,Sub_location_kapenguria,Sub_location_kapkoris,Sub_location_Chemwochoi,PB_or_HQ,Project_Name,Additional_Project_Details,Tender sum,Unsure tender sum,wb_pb:id,Added wb_pb:id,Category,Type_of_project,If_Other_what_is_the_project_type,What_is_the_project_s_apparent_status,Is_the_project_operational,Why_has_the_project_not_yet_started,Why_has_the_project_stalled,In_your_opinion_is_the_project_quality,Please_add_any_details_about_y,Additional_remark,image:project,image_project_inside,Notes Adele,Validation status on Kobo,Notes Peter & Lucy,Adele response to Peter/Lucy,,,
yes,kapenguria,,,,,kapenguria,chewoyet,,,HQ,County Trade Office,Renovation of West Pokot County Trade Office,"6,690,660.00",,27,,TIICD,Other_1,Office block,completed,operational,,,excellent,"Physical observation:
The renovation was well done.
The office will create a good working environment hence better service delivery.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571905446921.jpg,,Corrected project name and capitalization,Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,County treasury,Construction of treasury pit latrine,"1,794,253.20",,28,,FEP,public_toilet,,completed,operational,,,excellent,"Physical observation:
The toilet is in good condition.
Impact:
It has helped the treasury staff.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571397025167.jpg,,corrected project name and punctuation,Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,County treasury,Construction of county treasury building,"72,516,863.50",,29,,FEP,Other_1,Office building,completed,operational,,,adequate,"Physical observation:
The doors, walls and windows are in good condition.
Impact:
The building has improved the treasury services.","The building has not been labeled.
Parts of the ceiling at the door has ripped off.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571396594231.jpg,,corrected project name and punctuation + duplication on 24th --> which one is correct?,Approved,We have verified with the project list. This is correct and should remain as project id 29 ,ok,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,PB,Directional Billboard/Signage at Bendera Junction,Directional billboard/signage,"1,459,394.84",,31,,PSIDU,Other_1,Billboard,completed,operational,,,excellent,"It is an excellent project.
The Billboard will help in giving directions to relevant offices/institutions as well as directing visitors to various locations.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571907820117.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571907825676.jpg,corrected project name. is this a kind of project we map?,Approved,It was in the project list and thus had to be mapped,,,,
yes,kapenguria,,,,,kapenguria,chewoyet,,,HQ,Doctors' Residential Flats,Construction of West Pokot Doctors' plaza,"41,012,223.40",,32,,HS,Other_1,Doctors plaza,completed,operational,,,excellent,"Physical observation:
The construction was well done.
Impact:
Provided adequate accommodation for doctors for making work easier.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571906135753.jpg,,Corrected project name and capitalization,Approved,,,,,
yes,kapenguria,,,,,kapenguria,chewoyet,,,HQ,Education and ICT administration office block,Construction of education block,"52,457,964.32",,33,,ETT,Other_1,Office block,on_going,,,,adequate,"Physical observation:
The construction is ongoing.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571905171387.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571905185588.jpg,Corrected punctuation,Approved,,,,,
yes,kapenguria,,,,,chemwochoi,,,naramam,PB,Emboasis Cattle Dip,Proposed Rehabilitation of Emboasis Cattle Dip,"392,080.00",,34,,PEAGRI,Other_1,Cattle Dip,not_yet_started,,under_procurement,,poor,"Physical observation: The cattle dip has stagnant Acaricide.
Impact: The cattle dip has been abandoned for sometime and is not under use at the moment.
",The project had been serving the community but due to poor management it has been deserted.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571394589876.jpg,,corrected little spelling error and column,Approved,,,,,
yes,kapenguria,,,,,chemwochoi,,,naramam,PB,Emboasis Dispensary,Construction of Emboasis staff house,"2,500,000.00",,35,,HS,Other_1,Staff House,not_yet_started,,under_procurement,,poor,"Physical observation: The construction has not started.
Impact: The project has been delayed for too long.",The management committee should ensure there is a smooth transaction process for the completion of the project.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571391007520.jpg,,corrected project name and column in details,Approved,,"there was another 35, but it was a test, so Not Approved on Kobo",,,
yes,kapenguria,,,,,chemwochoi,,,naramam,PB,Emboasis Pit Latrine,Construction of Pit Latrine,"499,936.80",,36,,LHPPUD,public_toilet,,completed,operational,,,excellent,"Physical observation: The Pit Latrine is well built.
Impact: It helps improve sanitation in the community.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571395080974.jpg,,corrected column in details,Approved,,,,,
yes,kapenguria,,,,,chemwochoi,,,naramam,PB,Emboasis Secondary School Borehole,Installation of solar panel Emboasis Secondary school Borehole,"1,722,750.00",,37,,WENR,borehole,,stalled,,,contractor_left,adequate,"Physical observation:
The project has been constructed with solar panel stands but the panels has not yet been installed.
The metal stands for the tanks has been installed.

Impact:
Once this project is complete, the solar panel will help to pump water to the tanks which will supply water to the institution and community at large.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571732688556.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571732714424.jpg,corrected capitalization and spelling error,Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Governor's Residence,Proposed construction of an official residence houce block A within Governor's residence in kapenguria,"113,008,580.00",,39,,OG,Other_1,Governor's Residence,on_going,,,,adequate,"Physical observation:
The construction is almost complete.
Impact:
Not yet in use.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571903629348.jpg,,corrected capitalization and punctuation,Approved,Have indicated the correct project description from the project list,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Governor's Residence,Renovation of Governor's residence block A,"5,249,128.80",,40,,OG,Other_1,Governor's Residence,completed,operational,,,excellent,"Physical observation:
The renovation was well done.
The residence will provide ample living space for the Governor. ",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571903979718.jpg,,corrected capitalization +  is block B or A like in project list? Plus corrected also other,Approved,Block B and A are on the project list,you didn't get me: on project list ID 40 is block A and 41 is block B but here they are the contrary. So not sure if this is correct of if I have to switch A/B or the ID maybe,We have rectified the mistake from the project list Block B shuold be A and vice versa.,"ok! though this needs to be corrected also on POI on OSM, remember!",sorted
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Governor's Residence,Office block - block B,"5,433,173.20",,41,,OG,Other_1,Office block,completed,operational,,,excellent,"Physical observation:
The renovation was well done.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571904374384.jpg,,corrected project name + is block A or B like in project list?,Approved,Block B and A are on the project list,,,"ok! though this needs to be corrected also on POI on OSM, remember!",sorted
yes,kapenguria,,,,,kapkoris,,chemwochoi,,PB,Kakpaw ECDE,Construction of classroom at Kakpaw ECDE,"500,000.00",,43,,ETT,ecde_centre,,completed,operational,,,adequate,"Physical observations: The project has been well built.
Impact: The school has promoted early childhood education. ",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572000966697.jpg,,corrected grammar,Approved,,,,,
yes,kapenguria,,,,,kapenguria,kamatira,,,PB,Kalomoywo Bridge,Road improvement and maintenance at Kalomoywo bridge,"1,305,754.40",,44,,RPWTI,Other_1,Bridge,completed,operational,,,adequate,"The bridge and road are well built.
The bridge has eased movement.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571988782092.jpg,,nothing. not sure about type: road or other > bridge?,Approved,the project involves both the road and the bridge,"so? shall I leave ""road"" or change it to ""Other > Bridge""?",Just leave it as bridge. We have corrected the type of project as bridge.,,
yes,kapenguria,,,,,kapenguria,kamatira,,,PB,Kalomoywo Cattle Dip,Construction of Cattle Dip at Kalomoywo in Kapenguria Ward,"1,969,350.00",,45,,PEAGRI,Other_1,Cattle Dip,completed,non_operational,,,poor,"Poor construction.
The cattle dip has been deserted.",The cattle dip has been poorly managed.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571990273229.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571990293300.jpg,Corrected punctuation,Approved,,,,,
yes,kapenguria,,,,,kapenguria,chewoyet,,,PB,Kamarketch Bridge,Proposed improvement/Maintenance Works To Road No D 342 Kamarketch Bridge,"7,516,241.63",,46,,RPWTI,Other_1,Bridge,completed,operational,,,adequate,"The bridge is complete and in use. 
It has provided easy accessibility.",The bridge needs some renovation.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571989733477.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571989763620.jpg,nothing. type is supposed to be road or other > bridge?,Approved,the project involves both the road and the bridge,"so? shall I leave ""road"" or change it to ""Other > Bridge""?",Just leave it as bridge. We have corrected the type of project as bridge.,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Kapenguria County Referral Hospital,Construction of drug store at Kapenguria Referral Hospital,"30,017,134.00",,49,,HS,hospital,,completed,operational,,,excellent,"Physical observation:
The building construction was done well.
Impact:
Improved health care.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571913809422.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571913856373.jpg,Corrected project name and capitalization,Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Kapenguria County Referral Hospital,Construction of Kapenguria referral ICU and casualty wing,,"44,757,469.00 / 11,189,367.00",50,,HS,hospital ,,completed,operational,,,excellent,"Physical observation:
The construction was done well.
Impact:
Improved the provision of urgent medical services for the people in the area.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571912200031.jpg,,Corrected project name. Is the type Other correct? Or should it be Hospital? Plus tender sum to be confirmed cause they were two on the project list,Approved,"changed to hopital  --> ok, corrected on Kobo too","ok, left like this then even though I don't understand the difference between the tag Hospital and the Other>Hospital Building",,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Kapenguria County Referral Hospital,Construction of isolation ward,"6,000,000.00",,51,,HS,Other_1,hospital,on_going,,,,adequate,"Physical observation:
The construction is at finishing point.
Impact:
Not yet in use.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571914481279.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571914531189.jpg,corrected project name and punctuation,Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Kapenguria County Referral Hospital,Construction and renovation of ward seven,"28,878,619.92",,53,54,HS,Other_1,hospital,completed,operational,,,excellent,"Physical observation:
The construction and renovation was well done.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571915669888.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571915700216.jpg,corrected project name. duplication in the same day 24 --> which is correct? or maybe this is 53 since ward 7?,Approved,Corrected the project id to 53 Refer to the project list to confirm this,ok,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Kapenguria County Referral Hospital,Renovation of Kapenguria County Referral Hospital phase 1,"28,878,619.92",,54,,HS,hospital,,completed,operational,,,adequate,"Physical observation:
Parts of the roofing have not been renovated.
Impact:
It has improved the infrastructure of the hospital hence create a good working environment for the hospital staff.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571912983148.jpg,,Corrected project name and capitalization. duplication in the same day 24 --> which is correct?,Approved,,"solved on the double: this is the correct 54, the other was 53",,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Kapenguria County Referral Hospital,Construction of West Pokot referral wall,"23,550,522.80",,55,,HS,hospital,,completed,operational,,,adequate,"Physical observation:
The light bulbs have not yet been installed.
The general finishing of some sections of the wall has not been done.
Impact:
The wall will ensure security of the facility.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571907968478.jpg,,corrected project name and type from earth_dam to hospital,Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Kapenguria County Referral Hospital,Construction of Kapenguria Referral Oxygen plant,"1,037,794.00",,56,,HS,hospital,,on_going,,,,adequate,"Physical observation:
The construction is going on well.
Impact:
It will assist in providing oxygen for patients under special care.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571913315322.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571913348873.jpg,corrected project name and description,Approved,,,,,
Yes,kapenguria,,,,,kapenguria,mwotot,,,PB,Kapenguria Dumpsite Fencing,Fencing of Kapenguria Dumpsite,"1,705,200.00",,57,,LHPPUD,dumpsite,,completed,operational,,,excellent,"Physical observation:
The fencing was well done.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572507073343.jpg,,"corrected project name and description, department HS as mapped or LHPPUD as in project list?",Approved,It should be under LHPPUD.We've made corrections ,,,,
yes,kapenguria,,,,,kapenguria,chewoyet,,,PB,Kapenguria ECDE Training College,Proposed construction of hostel at Kapenguria ECDE college,,"45,050,734.40 / 46,049,112.00",58,,ETT,ecde_centre,,on_going,,,,adequate,"
The project is not yet in use.
The institution will enroll more teachers since accommodation will be available since the hostels are spacious.",The project needs proper drainage and landscaping.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571994645867.jpg,,corrected project name. tender sum needs clarification. PB like on the project list or HQ as mapped?,Approved,It should be PB from the project list.We've made corrections ,,,,
yes,kapenguria,,,,,kapenguria,chewoyet,,,PB ,Kapenguria ECDE Training College,Construction of Multi Purpose Hall and ECDE College,"41,727,079.20",,59,,ETT,ecde_centre,,on_going,,,,adequate,"Physical observations:
The roofing has been done but the floor, windows and doors are not yet fixed.
Once the ECDE is complete, more teachers will be enrolled thus promoting early childhood education.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571995194507.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571995221255.jpg,corrected puctuation. PB like on the project list or HQ as mapped?,Approved,It should be PB from the project list.We've made corrections ,,,,
yes,kapenguria,,,,,kapenguria,chewoyet,,,PB ,Kapenguria ECDE Training College,Proposed erection and completion of multi purpose hall and kitchen at ECDE college Kapenguria,"2,306,138.00",,60,,ETT,ecde_centre,,on_going,,,,adequate,"Physical observations:
Some sections are not yet done.
The hall will accommodate more teachers thus reducing congestion since it will be spacious enough.",Need for installation of window panes and doors and the general landscaping.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571996604299.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571996619356.jpg,corrected spelling mistakes. PB like on the project list or HQ as mapped?,Approved,It should be PB from the project list.We've made corrections ,,,,
yes,kapenguria,,,,,kapenguria,chewoyet,,,PB,Kapenguria ECDE Training College,Proposed construction of ECDE training college - Phase II,"24,401,011.80",,62,,ETT,ecde_centre,,completed,operational,,,excellent,The project is complete and is being used by the department of education West Pokot.,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571995615699.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571995676739.jpg,corrected description and capitalization. PB like on the project list or HQ as mapped?,Approved,It should be PB from the project list.We've made corrections ,,,,
yes,kapenguria,,,,,kapenguria,chewoyet,,,PB ,Kapenguria ECDE Training College,Construction of ECDE College Phase II Admin Block,"5,000,000.00",,63,,ETT,ecde_centre,,completed,non_operational,,,adequate,"Physical observation:
The construction was well done.
The project will promote early childhood education.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571997107674.jpg,,corrected project name. PB like on the project list or HQ as mapped?,Approved,It should be PB from the project list.We've made corrections ,,,,
yes,kapenguria,,,,,kapenguria,chewoyet,,,HQ,Kapenguria fish hatchery,Fencing of Kapenguria fish hatchery,"399,909.00",,64,,PEAGRI,Other_1,Fencing,completed,operational,,,adequate,"Physical observation:
The fencing poles are weak.
Impact:
Security to the fish hatchery.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571907045554.jpg,,corrected capitalization,Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Kapenguria KMTC,Renovation of KMTC,"4,852,800.00",,66,,HS,Other_1,Office block,completed,operational,,,excellent,"Physical observation:
The renovation was well done.
Impact:
Improved accomodation for the students.","The building is so small to accomodate all KMTC students, need to construct more accomodations.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571916463011.jpg,,Corrected project name and spelling errors,Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Kapenguria KMTC,Construction of administration block,,"33,167,789.80 / 34,980,241.77",67,,HS,Other_1,Office block,completed,operational,,,excellent,"Physical observation:
The construction was well done.
The new administration block will provide a conducive working environment hence bolster service provision in the facility.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571916709296.jpg,,"corrected project name, to be confirmed which department. tender sum to be confirmed because two in the project list for different phases",Approved,corrected the department which shold be HS,,,,
