_id,Ward,Sub_ward,Cluster_Wote,Cluster_Nziu,Project_ID,Project_Name_or_Title,Project_Description,Category,Type_of_facility,What_type_of_facility_or_project_is_it,What_is_the_project_s_apparent_status,In_your_opinion_is_the_project_quality,Please_add_any_details_about_y,Project_Name_for_Print
21683552,wote,wote,Mwaani,,4,ACK mwaani ECDE,Construction of ECDE ,education,ecde_centre,,in_progress,Adequate,Still under construction ,ACK mwaani ECDE
21643059,wote,wote,Mwaani,,3,Kwa Kaloki earth dam ,Complete ,water_irrigati,earth_dam,,completed,Adequate,Adequate water supply to residents ,Kwa Kaloki earth dam 
21640063,wote,nziu,,Yaumba_A,8,"Kitikyumu ecde staffing, playing kits, plastic sits","staffing, playing kits, plastic sits",education,ecde_centre,,in_progress,Adequate,Improved learning environment ,Kitikyumu ECDE
21641099,wote,wote,Wote_town,,2,Boda boda opposite ngooni,Construction,gender,Other_1,Boda boda shed,completed,Adequate,"Good,serving atkeast 20 bodaboda operators.",Boda boda opposite ngooni
21636309,wote,wote,Mwaani,,2,Mwaani/Uwo wawo,Construction of borehole ,water_irrigati,borehole,,completed,Excellent,Supply of water to mwaani village  residents  and Wote town,Mwaani/Uwo wawo
21640000,wote,nziu,,Yaumba_A,5,Kitikyumu bore drilling and tapping,"Drilling,  tanks tapping on site",water_irrigati,borehole,,in_progress,Adequate,Shortened distance to water point,Kitikyumu bore hole drilling and tapping
21642011,wote,nziu,,Nziu,2,Nziu CTTI domitory,Girl's dormitory block,education,Other_1,CTTI domitory,completed,Excellent,Provided accommodation to the students hence condusive learning environment. ,Nziu CTTI domitory
21639952,wote,wote,Malivani,,3,Malivani aicecde ,Staffing,education,ecde_centre,,completed,Adequate,Eased access to preschool education,Malivani AIC ECDE
21636295,wote,,,,1,Mwaani Girls library,Construction  and equipping  of Mwaani Girls library ,education,libray,,in_progress,Excellent,It will be any additional library to the school  and the public after  its completion ,Mwaani Girls library
21639928,wote,wote,Wote_town,,2,Supply 150 tree seedlings at Malivani aic boarding,Supply of 150 trees,environment,Other_1,Tree seedlings at malivani boarding,completed,Adequate,Environment improved ,Malivani aic boarding school
21639882,wote,wote,Wote_town,,1,St John's secondary school,Leveling of play ground,gender,sports_ground,,in_progress,Adequate,Improve talent,St John's Malivani Secondary school
21640723,wote,wote,Wote_town,,1,Westlands water tank,Installation of a tank,water_irrigati,Water_project,,completed,Adequate,Good,Westlands water tank
21639729,wote,wote,Malivani,,1,Ndue Nguu stream drift,Construction,transport,Other_1,Drift,completed,Adequate,"Small drift,  eased transport",Ndue Nguu stream drift
21683671,wote,wote,Mwaani,,10,Kiuani ECDE centre,Suggested  location  for ECDE construction through  PB but it hasn't commenced ,education,ecde_centre,,not_yet_starte,Poor,Not yet started ,Kiuani ECDE centre
21683685,wote,wote,Mwaani,,11,Kamunyolo Earth Dam , Maintenance of Kamunyolo earth Dam ,water_irrigati,earth_dam,,completed,Adequate,Supplies water to wote town ,Kamunyolo Earth Dam 
