is_in:village,Is_there_a_Project_associated_,Ward,Sub_ward_location_001,Sub_Location_marigat,Sub_Location_Kiponjos,Sub_Location_Bekibon,Sub_Location_Tuluongoi,Sub_Location_Kimalel,Sub_Location_Kimondis,Sub_Location_Sokta,Sub_Location_Ewalel_Soi,Sub_ward_location,Sub_location_Mogotio,Sub_location_ngubereti,Sub_location_Sirwa,Sub_location_Koitebes_Kimngorom,Sub_location_Kiptoim,Sub_location_Rosoga,PB_or_HQ,Project_Name,Additional_Project_Details,,,Budgeted sum,wb_pb:id,added wb_pb:id,Category,Type_of_project,If_Other_what_is_the_project_type,What_is_the_project_s_apparent_status,Projects_that_have_been_completed,projects_that_have_not_yet_started,projects_that_have_stalled,In_your_opinion_is_the_project_quality,Please_add_any_details_about_y,image:project,Notes corrections on Kobo,zack's comment/feedback/correction,Validation Status on Kobo,Notes Adele 10/10 and 29/10
Esageri,yes,mogotio,,,,,,,,,,kiptoim,,,,,kiptoim,,PB,Esageri school for deaf,Construction of Esageri school for deaf dining hall,,,"3,403,920.40",64,,SCG,Other_1,Dining hall,completed,operational,,,adequate,"The building was not finished properly since no electricity wiring is done, no tables and chairs is to be used, kitchen equipping was not also install.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568284357105.jpg,"Corrected Dining Hall after Other, fixed Dep and corrected spelling mistake",,Approved,
Chemamul,yes,mogotio,,,,,,,,,,koitebes/kimng,,,,koitebes,,,PB,Matebei Borehole,Matebei Borehole Water Solar Installation,,,"2,500,000.00",65,,WI,borehole,,completed,operational,,,adequate,The solar is well fixed pumping rate is low to the distributing tank,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568871498024.jpg,no. 65 repeated twice on 17/18/19,This feature was remapped. This is the one that should be kept. It matches with what is on OSM,Approved,Flagged as Approved
Aram,yes,mogotio,,,,,,,,,,koitebes/kimng,,,,koitebes,,,PB,Aram ECDE,Construction of ECDE Classroom,,,"1,000,000.00",66,,EDU,ecde_centre,,stalled,,,low_budget,adequate,"The floor is not yet finished, lockable door is fixed, windows fixed but no glasses.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568696908015.jpg,Corrected spaces in between words,Approved,,
Chepkoyo,yes,mogotio,,,,,,,,,,sirwa,,,sirwa,,,,PB,Chepkoyo ECDE,Construction of ECDE classroom,,,"1,000,000.00",67,,EDU,ecde_centre,,not_yet_started,,handed_over_to,,poor,The site is not yet cleared and levelled. There is no materials on the site to indicate any sign of the project starting.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568365230716.jpg,Fixed Dep,,Approved,
Chepkokon,yes,mogotio,,,,,,,,,,koitebes/kimng,,,,koitebes,,,PB,Chepkokon ECDE,Construction of ECDE classroom,,,"1,540,000.00",68,,EDU,ecde_centre,,completed,operational,,,adequate,"The class well roofed, lockable door fixed, windows well fixed with glasses, needs to be equipped and barrier to be prepared for the safety of the learners and also needs a latrine.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568700201877.jpg,Corrected spaces in between words and grammar,Approved,,
Kimngorom,yes,mogotio,,,,,,,,,,koitebes/kimng,,,,kimngorom,,,PB,Boda boda Shed,Construction of bodaboda sheds,,,"400,000.00",69,,FIEC,parking_space,,completed,operational,,,excellent,The shed is well constructed,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568873988611.jpg,Corrected project name,Approved,,
Kiptum,yes,mogotio,,,,,,,,,,koitebes/kimng,,,,kimngorom,,,PB,Kipngorom Dam,Dam construction Kipngorom,,,"900,000.00",70,,WI,earth_dam,,stalled,,,contractor_left,poor,"The Dam is leaking, the water through not yet constructed and has not been fenced",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568816606202.jpg,Not sure to understand what they mean in the details: see comment,Approved,,
Rosy,yes,mogotio,,,,,,,,,,koitebes/kimng,,,,kimngorom,,,PB,Rosy Water Project,Rosy Water Project,,,"3,570,000.00",71,,WI,Water_project,,completed,non_operational,,,poor,Water overflowed and carried away the whole intake.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568811451980.jpg,Nothing,Approved,,
Kimngorom,yes,mogotio,,,,,,,,,,koitebes/kimng,,,,kimngorom,,,PB,Kimngorom ECDE,Construction of ECDE classroom,,,"1,000,000.00",73,,EDU,ecde_centre,,completed,operational,,,adequate,Not equipt.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568789055727.jpg,Corrected project name,Approved,,
Kapkiris,yes,mogotio,,,,,,,,,,sirwa,,,sore,,,,PB,Kapkiris ECDE,Construction of ECDE classroom,,,"1,250,000.00",74,181,EDU,ecde_centre,,not_yet_started,,handed_over_to,,poor,"The contractor located the site, cleared but has not brought any material for readiness to start the project.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568281990773.jpg,"Corrected ID, fixed Dep",,Approved,
Ngubereti,yes,mogotio,,,,,,,,,,ngubereti,,ngubereti,,,,,PB,Ndaramiandet Water Pan,Construction of Ndaramiandet water pan,,,"2,865,150.00",75,,WI,earth_dam,,completed,operational,,,adequate,One section of the dam was not fully completed but other facilities like fencing and toilets were completed.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568793533432.jpg,Nothing,Approved,,
Noiwet,yes,mogotio,,,,,,,,,,ngubereti,,ngubereti,,,,,PB,Noiwet Borehole,Drilling of Noiwet borehole,,,"2,600,000.00",76,76,WI,borehole,,stalled,,,low_budget,poor,"The pump which was equipped is in plastic which doesn't accommodate the warm temperatures, and also the pump which was installed can't handle the high water temperatures.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568369937984.jpg,"Fixed Dep, corrected grammar",,Approved,
Noiwet,yes,mogotio,,,,,,,,,,ngubereti,,ngubereti,,,,,PB,Noiwet Borehole,Equipping of Noiwet borehole,,,"3,500,000.00",77,77,WI,Water_project,,completed,operational,,,adequate,Water is always available but the water tank is leaking.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568371317113.jpg,Fixed Dep,,Approved,
Kapkararam,yes,mogotio,,,,,,,,,,ngubereti,,ngubereti,,,,,PB,Kapkararam Borehole,Drilling,,,"2,500,000.00",78,,WI,borehole,,not_yet_starte,,handed_over_to,,poor,It has not yet started.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568800414483.jpg,Corrected capitalization,Approved,,
Kenet,yes,mogotio,,,,,,,,,,ngubereti,,ngubereti,,,,,PB,Kenet ECDE,Construction of ECDE classroom,,,"1,000,000.00",79,,EDU,ecde_centre,,stalled,,,contractor_left,adequate,"The design of the blackboard has not been done, the ramp has not been constructed, there's no employed staff. But the structural standard is commendable.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568797953493.jpg,Corrected ECDE and grammar,Approved,,
Ngubereti,yes,mogotio,,,,,,,,,,ngubereti,,ngubereti,,,,,PB,Ngubereti Health Center,Erection and completion of ward blocks,,,"4,000,000.00",80,,HS,maternity_ward,,on_going,,,,adequate,The roofing and finishing of the facility is remaining but the structure standard is commendable.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568794293587.jpg,Corrected grammar,Approved,,
Kipsogon,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Logiri ECDE,Construction of ECDE classroom,,,,150,500,EDU,ecde_centre,,on_going,,,,adequate,"1. Floor cracks. 2. No windows glasses. 3. No water tank. 4. The structure is very good, generally.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568104076322.jpg,"Corrected ECDE and ID, fixed Dep",,Approved,
Logiri,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Logiri Livestock Improvement Center,"Water tank for water harvesting, volume 24,000 litres",,,,151,501,AGLF,Water_project,,completed,non_operational,,,excellent,"It's still new, has not yet been mounted to be used.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568106572554.jpg,"Corrected project name, ID, fixed Dep and spelling mistake",,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Sub County Hospital Fence,Erecting of Fence at Mogotio Sub County Hospital,,,,152,503,HS,hospital,,on_going,,,,excellent,Concrete posts being used is of high standards and the project is ongoing smoothly.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568110151149.jpg,Fixed Dep and corrected ID,,Approved,
Aram,yes,mogotio,,,,,,,,,,koitebes/kimng,,,,koitebes,,,PB,Tabare Tui Dam,Construction of a dam,,,,181,,WI,earth_dam,,not_yet_started,,handed_over_to,,poor,The site has not yet been cleared.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568695891449.jpg,Nothing,,Approved,
Perkerra,yes,mogotio,,,,,,,,,,koitebes/kimng,,,,kapterit,,,PB,Sachangwan ECDE,Construction of an ECDE,,,,182,,EDU,ecde_centre,,completed,operational,,,excellent,It is well constructed and equipped.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568875066339.jpg,Corrected space in between words,,Approved,
Koitebes,yes,mogotio,,,,,,,,,,koitebes/kimng,,,,koitebes,,,PB,Koitebes Maternity Wing,Construction of maternity wing,,,"2,000,000.00",183,,HS,dispensary,,completed,non_operational,,,excellent,"The building is well roofed, lockable doors fixed, windows well fixed, floor with tiles and few equipments have been brought.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568708861541.jpg,Corrected spaces in between words,,Approved,
Kapterit,yes,mogotio,,,,,,,,,,koitebes/kimng,,,,kapterit,,,PB,Construction of ECDE,Construction of ECDE,,,,184,,EDU,ecde_centre,,not_yet_started,,under_procurement,,poor,It is not yet cleared.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568797184875.jpg,Nothing,,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Water Supply,Piping for Mogotio water supply,,,"2,000,000.00",191,191,WI,Water_project,,completed,operational,,,excellent,Water is always available and at fair price.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568275127413.jpg,Fixed Dep,,Approved,is it a duplicate of project 21?
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio District Planning Unit,Construction of planning Unit,,,,192,,CA,Other_1,Office Building,completed,operational,,,excellent,Construction of planning unit is in good condition and is being used.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568701463635.jpg,Corrected Office Building after Other,,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Office of the Governor Mogotio,Wi-Fi connectivity,,,,193,,GO,Other_1,Wi-Fi connection,completed,non_operational,,,adequate,"It's not consistent in connection due to late payment, but the contractor has finished the installation",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568710898612.jpg,"The Dep is wrongly written: it is written as G0 instead of GO, but it something to be corrected on the form, not on the data. Nothing corrected",,Approved,
Ngubereti,yes,mogotio,,,,,,,,,,ngubereti,,ngubereti,,,,,PB,Noiwet Muserechi Road,Upgrading of Noiwet Muserechi road,,,,195,,RTEPW,road,,completed,operational,,,poor,Some sections of the road are incomplete,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568804573808.jpg,Nothing,,Approved,
